,slope_percentage,slope_degrees,length,stop_id,seq_stop_id,timedelta_from_origin_0,timedelta_from_origin_1,timedelta_from_origin_2,timedelta_from_origin_3,timedelta_from_origin_4,timedelta_from_origin_5,timedelta_from_origin_6,timedelta_from_origin_7,timedelta_from_origin_8,timedelta_from_origin_9,timedelta_from_origin_10,timedelta_from_origin_11,timedelta_from_origin_12,timedelta_from_origin_13,timedelta_from_origin_14,timedelta_from_origin_15,timedelta_from_origin_16,timedelta_from_origin_17,timedelta_from_origin_18,timedelta_from_origin_19,timedelta_from_origin_20,timedelta_from_origin_21,timedelta_from_origin_22,timedelta_from_origin_23,boardings_0,alightings_0,boardings_1,alightings_1,boardings_2,alightings_2,boardings_3,alightings_3,boardings_4,alightings_4,boardings_5,alightings_5,boardings_6,alightings_6,boardings_7,alightings_7,boardings_8,alightings_8,boardings_9,alightings_9,boardings_10,alightings_10,boardings_11,alightings_11,boardings_12,alightings_12,boardings_13,alightings_13,boardings_14,alightings_14,boardings_15,alightings_15,boardings_16,alightings_16,boardings_17,alightings_17,boardings_18,alightings_18,boardings_19,alightings_19,boardings_20,alightings_20,boardings_21,alightings_21,boardings_22,alightings_22,boardings_23,alightings_23,stop_id_end,seq_stop_id_end,timedelta_from_origin_0_end,timedelta_from_origin_1_end,timedelta_from_origin_2_end,timedelta_from_origin_3_end,timedelta_from_origin_4_end,timedelta_from_origin_5_end,timedelta_from_origin_6_end,timedelta_from_origin_7_end,timedelta_from_origin_8_end,timedelta_from_origin_9_end,timedelta_from_origin_10_end,timedelta_from_origin_11_end,timedelta_from_origin_12_end,timedelta_from_origin_13_end,timedelta_from_origin_14_end,timedelta_from_origin_15_end,timedelta_from_origin_16_end,timedelta_from_origin_17_end,timedelta_from_origin_18_end,timedelta_from_origin_19_end,timedelta_from_origin_20_end,timedelta_from_origin_21_end,timedelta_from_origin_22_end,timedelta_from_origin_23_end,boardings_0_end,alightings_0_end,boardings_1_end,alightings_1_end,boardings_2_end,alightings_2_end,boardings_3_end,alightings_3_end,boardings_4_end,alightings_4_end,boardings_5_end,alightings_5_end,boardings_6_end,alightings_6_end,boardings_7_end,alightings_7_end,boardings_8_end,alightings_8_end,boardings_9_end,alightings_9_end,boardings_10_end,alightings_10_end,boardings_11_end,alightings_11_end,boardings_12_end,alightings_12_end,boardings_13_end,alightings_13_end,boardings_14_end,alightings_14_end,boardings_15_end,alightings_15_end,boardings_16_end,alightings_16_end,boardings_17_end,alightings_17_end,boardings_18_end,alightings_18_end,boardings_19_end,alightings_19_end,boardings_20_end,alightings_20_end,boardings_21_end,alightings_21_end,boardings_22_end,alightings_22_end,boardings_23_end,alightings_23_end
172,-0.7525771453829245,-0.4311868015978487,96.65333456470944,,,2613.923076923077,2787.730769230769,2165.230769230769,,,2391.6923076923076,2602.846153846154,2896.3846153846152,3049.923076923077,3031.9615384615386,3027.923076923077,3070.076923076923,3196.9615384615386,3169.846153846154,3198.0,3246.4615384615386,3381.769230769231,3353.923076923077,3443.153846153846,3511.923076923077,3262.1153846153848,3016.923076923077,2969.923076923077,2679.653846153846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1629.0,48.0,2622.0,2791.0,2173.5,,,2399.0,2604.0,2913.5,3063.0,3046.0,3038.5,3082.0,3216.0,3191.0,3213.0,3258.0,3396.0,3367.0,3457.0,3525.0,3270.0,3030.0,2978.0,2693.5,0.0,1.0526315789473684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1363636363636365,1.181818181818182,1.2777777777777777,1.3478260869565215,1.234375,1.4166666666666667,1.1666666666666667,1.2083333333333333,1.2075471698113207,1.2,1.1923076923076923,1.3157894736842106,1.3932584269662922,1.4423076923076923,1.6851851851851851,1.4772727272727273,1.3037974683544304,1.1034482758620692,1.3469387755102042,1.5185185185185186,1.1746031746031746,1.3235294117647058,1.3793103448275863,1.7931034482758617,1.2363636363636363,1.4375,1.25,1.0,1.1282051282051282,1.3333333333333333,1.1063829787234043,1.6363636363636365,1.1363636363636365,1.0,1.1666666666666667
173,-1.1502226467346028,-0.6589999704425421,35.600830728171786,1629.0,48.0,2622.0,2791.0,2173.5,,,2399.0,2604.0,2913.5,3063.0,3046.0,3038.5,3082.0,3216.0,3191.0,3213.0,3258.0,3396.0,3367.0,3457.0,3525.0,3270.0,3030.0,2978.0,2693.5,0.0,1.0526315789473684,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1363636363636365,1.181818181818182,1.2777777777777777,1.3478260869565215,1.234375,1.4166666666666667,1.1666666666666667,1.2083333333333333,1.2075471698113207,1.2,1.1923076923076923,1.3157894736842106,1.3932584269662922,1.4423076923076923,1.6851851851851851,1.4772727272727273,1.3037974683544304,1.1034482758620692,1.3469387755102042,1.5185185185185186,1.1746031746031746,1.3235294117647058,1.3793103448275863,1.7931034482758617,1.2363636363636363,1.4375,1.25,1.0,1.1282051282051282,1.3333333333333333,1.1063829787234043,1.6363636363636365,1.1363636363636365,1.0,1.1666666666666667,,,2624.315789473684,2792.7894736842104,2177.0789473684213,,,2401.5263157894738,2606.9473684210525,2918.657894736842,3067.9473684210525,3048.7368421052633,3041.342105263158,3086.2105263157896,3219.0526315789475,3195.1052631578946,3216.5789473684213,3263.0526315789475,3399.3684210526317,3370.5789473684213,3457.6315789473683,3531.7368421052633,3273.684210526316,3033.5789473684213,2982.842105263158,2696.342105263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,2.8366967563828376,1.624871775909003,149.9999999998945,,,2624.315789473684,2792.7894736842104,2177.0789473684213,,,2401.5263157894738,2606.9473684210525,2918.657894736842,3067.9473684210525,3048.7368421052633,3041.342105263158,3086.2105263157896,3219.0526315789475,3195.1052631578946,3216.5789473684213,3263.0526315789475,3399.3684210526317,3370.5789473684213,3457.6315789473683,3531.7368421052633,3273.684210526316,3033.5789473684213,2982.842105263158,2696.342105263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1630.0,49.0,2633.0,2799.5,2190.5,,,2411.0,2618.0,2938.0,3086.5,3059.0,3052.0,3102.0,3230.5,3210.5,3230.0,3282.0,3412.0,3384.0,3460.0,3557.0,3287.5,3047.0,3001.0,2707.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1052631578947372,1.2,1.4878048780487805,1.275,1.375,1.4631578947368422,1.3793103448275863,1.6310679611650485,1.1833333333333331,1.4086021505376345,1.5932203389830508,1.5391304347826087,1.3783783783783785,1.6715328467153283,1.5,1.6953125,1.5178571428571428,1.5511811023622046,1.4117647058823528,1.6,1.3692307692307693,1.7063492063492065,1.5666666666666669,1.5431034482758617,1.7692307692307692,1.7835820895522387,1.162162162162162,1.4297520661157024,1.2222222222222223,1.4084507042253518,1.2352941176470589,1.4473684210526316,1.7222222222222223,1.3103448275862069,1.0,1.4642857142857142
175,4.14750673914432,2.374985139059463,287.29954023977007,1630.0,49.0,2633.0,2799.5,2190.5,,,2411.0,2618.0,2938.0,3086.5,3059.0,3052.0,3102.0,3230.5,3210.5,3230.0,3282.0,3412.0,3384.0,3460.0,3557.0,3287.5,3047.0,3001.0,2707.0,0.0,1.3333333333333333,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.1052631578947372,1.2,1.4878048780487805,1.275,1.375,1.4631578947368422,1.3793103448275863,1.6310679611650485,1.1833333333333331,1.4086021505376345,1.5932203389830508,1.5391304347826087,1.3783783783783785,1.6715328467153283,1.5,1.6953125,1.5178571428571428,1.5511811023622046,1.4117647058823528,1.6,1.3692307692307693,1.7063492063492065,1.5666666666666669,1.5431034482758617,1.7692307692307692,1.7835820895522387,1.162162162162162,1.4297520661157024,1.2222222222222223,1.4084507042253518,1.2352941176470589,1.4473684210526316,1.7222222222222223,1.3103448275862069,1.0,1.4642857142857142,1631.0,50.0,2668.0,2849.0,2241.0,,,2224.0,2641.0,2967.0,3140.5,3106.0,3099.5,3145.0,3274.0,3258.0,3286.0,3333.0,3456.5,3430.0,3499.0,3619.5,3336.0,3094.0,3035.5,2747.0,0.0,1.15,1.0,1.2857142857142858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0666666666666669,1.4107142857142858,1.0731707317073171,2.263636363636364,1.0857142857142856,2.5955882352941178,1.1515151515151516,1.7627118644067796,1.3793103448275863,1.5727272727272728,1.0625,1.4077669902912622,1.372093023255814,1.7121212121212122,1.25,1.8571428571428568,1.3770491803278688,1.7099236641221374,1.4761904761904765,1.5932203389830508,1.4666666666666666,1.8267716535433072,1.3333333333333333,1.6212121212121209,1.3793103448275863,1.6129032258064515,1.0909090909090908,1.5813953488372092,1.3333333333333333,1.5324675324675323,1.2,1.4266666666666667,1.0,1.4814814814814814,1.0,1.1875
176,1.4386139724561844,0.8242082331827858,184.0373572107601,1631.0,50.0,2668.0,2849.0,2241.0,,,2224.0,2641.0,2967.0,3140.5,3106.0,3099.5,3145.0,3274.0,3258.0,3286.0,3333.0,3456.5,3430.0,3499.0,3619.5,3336.0,3094.0,3035.5,2747.0,0.0,1.15,1.0,1.2857142857142858,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0666666666666669,1.4107142857142858,1.0731707317073171,2.263636363636364,1.0857142857142856,2.5955882352941178,1.1515151515151516,1.7627118644067796,1.3793103448275863,1.5727272727272728,1.0625,1.4077669902912622,1.372093023255814,1.7121212121212122,1.25,1.8571428571428568,1.3770491803278688,1.7099236641221374,1.4761904761904765,1.5932203389830508,1.4666666666666666,1.8267716535433072,1.3333333333333333,1.6212121212121209,1.3793103448275863,1.6129032258064515,1.0909090909090908,1.5813953488372092,1.3333333333333333,1.5324675324675323,1.2,1.4266666666666667,1.0,1.4814814814814814,1.0,1.1875,1632.0,51.0,2694.0,2869.0,2258.5,,,2239.0,2667.5,3009.0,3171.5,3137.0,3123.0,3167.0,3303.0,3282.0,3314.0,3364.0,3487.0,3458.0,3555.0,3646.5,3366.0,3125.5,3059.0,2782.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0909090909090908,1.3125,1.0,1.2222222222222223,1.0714285714285714,1.2333333333333334,1.3333333333333333,1.1875,1.3571428571428572,1.3333333333333333,1.5714285714285714,1.0,1.2222222222222223,1.1428571428571428,1.1666666666666667,1.1428571428571428,1.368421052631579,1.2307692307692308,1.0,1.4666666666666666,1.08,1.2727272727272727,1.0,1.2857142857142858,1.0,1.2857142857142858,1.173913043478261,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0
177,0.5108556377629282,0.2926961736625242,65.23864238965507,1632.0,51.0,2694.0,2869.0,2258.5,,,2239.0,2667.5,3009.0,3171.5,3137.0,3123.0,3167.0,3303.0,3282.0,3314.0,3364.0,3487.0,3458.0,3555.0,3646.5,3366.0,3125.5,3059.0,2782.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0909090909090908,1.3125,1.0,1.2222222222222223,1.0714285714285714,1.2333333333333334,1.3333333333333333,1.1875,1.3571428571428572,1.3333333333333333,1.5714285714285714,1.0,1.2222222222222223,1.1428571428571428,1.1666666666666667,1.1428571428571428,1.368421052631579,1.2307692307692308,1.0,1.4666666666666666,1.08,1.2727272727272727,1.0,1.2857142857142858,1.0,1.2857142857142858,1.173913043478261,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,,,2701.4375,2876.0,2270.53125,,,2249.5,2673.84375,3016.875,3181.125,3144.875,3133.9375,3176.1875,3315.25,3294.03125,3324.71875,3377.78125,3496.1875,3472.0,3563.09375,3652.84375,3377.15625,3140.15625,3071.25,2791.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,-1.9005182066040491,-1.0887856452027416,89.9999999995216,,,2701.4375,2876.0,2270.53125,,,2249.5,2673.84375,3016.875,3181.125,3144.875,3133.9375,3176.1875,3315.25,3294.03125,3324.71875,3377.78125,3496.1875,3472.0,3563.09375,3652.84375,3377.15625,3140.15625,3071.25,2791.03125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1633.0,52.0,2711.0,2885.0,2286.0,,,2263.0,2682.0,3027.0,3193.5,3155.0,3148.0,3188.0,3331.0,3309.5,3338.5,3395.5,3508.0,3490.0,3573.5,3661.0,3391.5,3159.0,3087.0,2802.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,3.4576271186440684,1.2941176470588236,2.2577319587628866,1.36,1.6590909090909092,1.25,1.5636363636363635,1.0555555555555556,1.4347826086956519,1.1,1.5176470588235291,1.0740740740740742,1.8043478260869563,1.3157894736842106,1.8739495798319328,1.4375,1.7049180327868851,2.3,1.5048543689320388,1.5454545454545454,1.6333333333333333,1.0952380952380951,1.6666666666666667,1.181818181818182,2.0701754385964914,1.0,1.5607476635514017,1.0,1.295774647887324,1.0,1.3392857142857142,1.0,1.1538461538461535,1.0,1.2173913043478262
179,-4.734533066620352,-2.710663446132418,407.6090472405085,1633.0,52.0,2711.0,2885.0,2286.0,,,2263.0,2682.0,3027.0,3193.5,3155.0,3148.0,3188.0,3331.0,3309.5,3338.5,3395.5,3508.0,3490.0,3573.5,3661.0,3391.5,3159.0,3087.0,2802.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1666666666666667,3.4576271186440684,1.2941176470588236,2.2577319587628866,1.36,1.6590909090909092,1.25,1.5636363636363635,1.0555555555555556,1.4347826086956519,1.1,1.5176470588235291,1.0740740740740742,1.8043478260869563,1.3157894736842106,1.8739495798319328,1.4375,1.7049180327868851,2.3,1.5048543689320388,1.5454545454545454,1.6333333333333333,1.0952380952380951,1.6666666666666667,1.181818181818182,2.0701754385964914,1.0,1.5607476635514017,1.0,1.295774647887324,1.0,1.3392857142857142,1.0,1.1538461538461535,1.0,1.2173913043478262,1634.0,53.0,2815.5,2877.0,2440.0,,,1630.5,2837.0,3243.0,3272.0,3155.0,3236.0,3107.0,3457.0,3335.0,3386.5,3471.0,3723.0,3763.0,3574.0,4014.0,3461.0,3268.5,3151.5,2845.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.2857142857142858,0.0,1.5384615384615383,0.0,1.3125,0.0,1.4,0.0,1.375,0.0,1.8695652173913044,0.0,2.4166666666666665,0.0,1.9523809523809523,0.0,1.3333333333333333,0.0,2.8571428571428568,0.0,1.631578947368421,0.0,1.5555555555555556,0.0,1.3,0.0,1.2,0.0,1.25,0.0,1.4285714285714286,0.0,1.0
180,-3.5096071852008874,-2.010031790498799,130.88856204577314,1634.0,53.0,2815.5,2877.0,2440.0,,,1630.5,2837.0,3243.0,3272.0,3155.0,3236.0,3107.0,3457.0,3335.0,3386.5,3471.0,3723.0,3763.0,3574.0,4014.0,3461.0,3268.5,3151.5,2845.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,0.0,1.2857142857142858,0.0,1.5384615384615383,0.0,1.3125,0.0,1.4,0.0,1.375,0.0,1.8695652173913044,0.0,2.4166666666666665,0.0,1.9523809523809523,0.0,1.3333333333333333,0.0,2.8571428571428568,0.0,1.631578947368421,0.0,1.5555555555555556,0.0,1.3,0.0,1.2,0.0,1.25,0.0,1.4285714285714286,0.0,1.0,,,2816.3333333333335,2964.777777777778,2461.3888888888887,,,1279.111111111111,2904.777777777778,3335.222222222222,3302.8333333333335,3118.8888888888887,3333.222222222222,3212.8333333333335,3764.777777777778,3387.222222222222,3611.777777777778,3924.0555555555557,4112.166666666667,3800.222222222222,3620.9444444444443,3927.8888888888887,3559.3333333333335,3319.8888888888887,3211.777777777778,2858.8888888888887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0.0,0.0,88.91905958381903,,,2816.3333333333335,2964.777777777778,2461.3888888888887,,,1279.111111111111,2904.777777777778,3335.222222222222,3302.8333333333335,3118.8888888888887,3333.222222222222,3212.8333333333335,3764.777777777778,3387.222222222222,3611.777777777778,3924.0555555555557,4112.166666666667,3800.222222222222,3620.9444444444443,3927.8888888888887,3559.3333333333335,3319.8888888888887,3211.777777777778,2858.8888888888887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2816.8333333333335,3017.4444444444443,2474.222222222222,,,1068.2777777777778,2945.4444444444443,3390.5555555555557,3321.3333333333335,3097.222222222222,3391.5555555555557,3276.3333333333335,3949.4444444444443,3418.5555555555557,3746.9444444444443,4195.888888888889,4345.666666666667,3822.5555555555557,3649.1111111111113,3876.222222222222,3618.3333333333335,3350.722222222222,3247.9444444444443,2867.222222222222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
